size,density,cores,algo,aveg_time_ms
50,0.200000,8,PRIO,1.600000
50,0.500000,8,PRIO,3.000000
50,0.800000,8,PRIO,2.800000
100,0.200000,8,PRIO,3.400000
100,0.500000,8,PRIO,5.600000
100,0.800000,8,PRIO,1.800000
200,0.200000,8,PRIO,2.000000
200,0.500000,8,PRIO,1.800000
200,0.800000,8,PRIO,1.600000
400,0.200000,8,PRIO,1.600000
400,0.500000,8,PRIO,1.400000
400,0.800000,8,PRIO,1.000000
800,0.200000,8,PRIO,1.000000
800,0.500000,8,PRIO,1.000000
800,0.800000,8,PRIO,1.000000
1600,0.200000,8,PRIO,1.000000
1600,0.500000,8,PRIO,1.000000
1600,0.800000,8,PRIO,1.200000
