size,density,cores,algo,aveg_time_ms
50,0.200000,64,LIFO,20.400000
50,0.500000,64,LIFO,24.400000
50,0.800000,64,LIFO,16.000000
100,0.200000,64,LIFO,17.400000
100,0.500000,64,LIFO,19.000000
100,0.800000,64,LIFO,20.200000
200,0.200000,64,LIFO,20.000000
200,0.500000,64,LIFO,19.000000
200,0.800000,64,LIFO,26.200000
400,0.200000,64,LIFO,24.800000
400,0.500000,64,LIFO,26.400000
400,0.800000,64,LIFO,31.400000
800,0.200000,64,LIFO,35.200000
800,0.500000,64,LIFO,28.600000
800,0.800000,64,LIFO,45.400000
1600,0.200000,64,LIFO,143.600000
1600,0.500000,64,LIFO,30.600000
1600,0.800000,64,LIFO,44.800000
