size,density,cores,algo,aveg_time_ms
50,0.200000,32,PRIO,6.600000
50,0.500000,32,PRIO,11.000000
50,0.800000,32,PRIO,13.200000
100,0.200000,32,PRIO,8.400000
100,0.500000,32,PRIO,8.600000
100,0.800000,32,PRIO,8.400000
200,0.200000,32,PRIO,7.800000
200,0.500000,32,PRIO,9.600000
200,0.800000,32,PRIO,9.200000
400,0.200000,32,PRIO,7.800000
400,0.500000,32,PRIO,8.200000
400,0.800000,32,PRIO,7.400000
800,0.200000,32,PRIO,7.000000
800,0.500000,32,PRIO,6.400000
800,0.800000,32,PRIO,7.400000
1600,0.200000,32,PRIO,7.200000
1600,0.500000,32,PRIO,12.000000
1600,0.800000,32,PRIO,73.800000
