size,density,cores,algo,aveg_time_ms
50,0.200000,32,FIFO,8.200000
50,0.500000,32,FIFO,7.400000
50,0.800000,32,FIFO,7.800000
100,0.200000,32,FIFO,8.600000
100,0.500000,32,FIFO,9.200000
100,0.800000,32,FIFO,8.800000
200,0.200000,32,FIFO,9.200000
200,0.500000,32,FIFO,8.400000
200,0.800000,32,FIFO,9.400000
400,0.200000,32,FIFO,8.000000
400,0.500000,32,FIFO,7.400000
400,0.800000,32,FIFO,11.000000
800,0.200000,32,FIFO,12.000000
800,0.500000,32,FIFO,13.000000
800,0.800000,32,FIFO,17.400000
1600,0.200000,32,FIFO,9.000000
1600,0.500000,32,FIFO,12.400000
1600,0.800000,32,FIFO,16.600000
