size,density,cores,algo,aveg_time_ms
50,0.200000,16,LIFO,5.200000
50,0.500000,16,LIFO,4.200000
50,0.800000,16,LIFO,6.600000
100,0.200000,16,LIFO,3.400000
100,0.500000,16,LIFO,3.800000
100,0.800000,16,LIFO,4.200000
200,0.200000,16,LIFO,4.600000
200,0.500000,16,LIFO,4.200000
200,0.800000,16,LIFO,4.000000
400,0.200000,16,LIFO,4.400000
400,0.500000,16,LIFO,4.200000
400,0.800000,16,LIFO,4.800000
800,0.200000,16,LIFO,4.400000
800,0.500000,16,LIFO,5.000000
800,0.800000,16,LIFO,4.600000
1600,0.200000,16,LIFO,4.000000
1600,0.500000,16,LIFO,4.600000
1600,0.800000,16,LIFO,5.600000
