size,density,cores,algo,aveg_time_ms
50,0.200000,1,FIFO,0.400000
50,0.500000,1,FIFO,0.600000
50,0.800000,1,FIFO,0.200000
100,0.200000,1,FIFO,0.200000
100,0.500000,1,FIFO,0.000000
100,0.800000,1,FIFO,7.200000
200,0.200000,1,FIFO,22.400000
200,0.500000,1,FIFO,19.600000
200,0.800000,1,FIFO,21.800000
400,0.200000,1,FIFO,20.600000
400,0.500000,1,FIFO,36.600000
400,0.800000,1,FIFO,29.400000
800,0.200000,1,FIFO,36.000000
800,0.500000,1,FIFO,32.600000
800,0.800000,1,FIFO,8.000000
1600,0.200000,1,FIFO,54.000000
1600,0.500000,1,FIFO,32.600000
1600,0.800000,1,FIFO,36.600000
