size,density,cores,algo,aveg_time_ms
50,0.200000,1,LIFO,0.400000
50,0.500000,1,LIFO,0.400000
50,0.800000,1,LIFO,1.400000
100,0.200000,1,LIFO,0.200000
100,0.500000,1,LIFO,0.800000
100,0.800000,1,LIFO,0.600000
200,0.200000,1,LIFO,7.600000
200,0.500000,1,LIFO,0.400000
200,0.800000,1,LIFO,17.600000
400,0.200000,1,LIFO,20.400000
400,0.500000,1,LIFO,8.000000
400,0.800000,1,LIFO,24.800000
800,0.200000,1,LIFO,31.400000
800,0.500000,1,LIFO,32.000000
800,0.800000,1,LIFO,14.000000
1600,0.200000,1,LIFO,42.800000
1600,0.500000,1,LIFO,12.000000
1600,0.800000,1,LIFO,24.000000
