size,density,cores,algo,aveg_time_ms
50,0.200000,8,LIFO,2.600000
50,0.500000,8,LIFO,3.000000
50,0.800000,8,LIFO,1.400000
100,0.200000,8,LIFO,1.800000
100,0.500000,8,LIFO,2.000000
100,0.800000,8,LIFO,1.400000
200,0.200000,8,LIFO,1.800000
200,0.500000,8,LIFO,2.000000
200,0.800000,8,LIFO,2.200000
400,0.200000,8,LIFO,2.200000
400,0.500000,8,LIFO,2.000000
400,0.800000,8,LIFO,2.200000
800,0.200000,8,LIFO,1.600000
800,0.500000,8,LIFO,1.600000
800,0.800000,8,LIFO,1.600000
1600,0.200000,8,LIFO,1.800000
1600,0.500000,8,LIFO,1.800000
1600,0.800000,8,LIFO,2.200000
