size,density,cores,algo,aveg_time_ms
50,0.200000,16,PRIO,3.400000
50,0.500000,16,PRIO,4.800000
50,0.800000,16,PRIO,9.600000
100,0.200000,16,PRIO,5.800000
100,0.500000,16,PRIO,8.200000
100,0.800000,16,PRIO,4.000000
200,0.200000,16,PRIO,3.800000
200,0.500000,16,PRIO,3.400000
200,0.800000,16,PRIO,3.200000
400,0.200000,16,PRIO,2.400000
400,0.500000,16,PRIO,3.200000
400,0.800000,16,PRIO,3.000000
800,0.200000,16,PRIO,2.600000
800,0.500000,16,PRIO,2.400000
800,0.800000,16,PRIO,2.400000
1600,0.200000,16,PRIO,2.200000
1600,0.500000,16,PRIO,2.400000
1600,0.800000,16,PRIO,3.800000
