size,density,cores,algo,aveg_time_ms
50,0.200000,64,FIFO,17.400000
50,0.500000,64,FIFO,18.800000
50,0.800000,64,FIFO,25.200000
100,0.200000,64,FIFO,18.200000
100,0.500000,64,FIFO,18.600000
100,0.800000,64,FIFO,24.800000
200,0.200000,64,FIFO,23.600000
200,0.500000,64,FIFO,26.200000
200,0.800000,64,FIFO,23.400000
400,0.200000,64,FIFO,27.200000
400,0.500000,64,FIFO,25.200000
400,0.800000,64,FIFO,36.000000
800,0.200000,64,FIFO,34.400000
800,0.500000,64,FIFO,35.600000
800,0.800000,64,FIFO,30.200000
1600,0.200000,64,FIFO,74.800000
1600,0.500000,64,FIFO,29.800000
1600,0.800000,64,FIFO,34.800000
