size,density,cores,algo,aveg_time_ms
50,0.200000,96,PRIO,20.000000
50,0.500000,96,PRIO,21.000000
50,0.800000,96,PRIO,32.000000
100,0.200000,96,PRIO,29.666667
100,0.500000,96,PRIO,39.666667
100,0.800000,96,PRIO,31.666667
200,0.200000,96,PRIO,28.666667
200,0.500000,96,PRIO,34.000000
200,0.800000,96,PRIO,35.666667
400,0.200000,96,PRIO,32.666667
400,0.500000,96,PRIO,18.000000
400,0.800000,96,PRIO,27.666667
800,0.200000,96,PRIO,36.000000
800,0.500000,96,PRIO,28.666667
800,0.800000,96,PRIO,47.333333
1600,0.200000,96,PRIO,36.333333
1600,0.500000,96,PRIO,36.666667
1600,0.800000,96,PRIO,508.000000
