size,density,cores,algo,aveg_time_ms
50,0.200000,96,LIFO,32.666667
50,0.500000,96,LIFO,33.666667
50,0.800000,96,LIFO,30.666667
100,0.200000,96,LIFO,29.000000
100,0.500000,96,LIFO,29.000000
100,0.800000,96,LIFO,31.333333
200,0.200000,96,LIFO,35.000000
200,0.500000,96,LIFO,31.666667
200,0.800000,96,LIFO,34.666667
400,0.200000,96,LIFO,35.000000
400,0.500000,96,LIFO,34.000000
400,0.800000,96,LIFO,34.000000
800,0.200000,96,LIFO,37.666667
800,0.500000,96,LIFO,40.000000
800,0.800000,96,LIFO,57.666667
1600,0.200000,96,LIFO,61.666667
1600,0.500000,96,LIFO,37.000000
1600,0.800000,96,LIFO,40.333333
