size,density,cores,algo,aveg_time_ms
50,0.200000,96,FIFO,24.666667
50,0.500000,96,FIFO,24.666667
50,0.800000,96,FIFO,22.333333
100,0.200000,96,FIFO,26.333333
100,0.500000,96,FIFO,28.666667
100,0.800000,96,FIFO,30.666667
200,0.200000,96,FIFO,29.000000
200,0.500000,96,FIFO,32.333333
200,0.800000,96,FIFO,41.666667
400,0.200000,96,FIFO,36.333333
400,0.500000,96,FIFO,32.000000
400,0.800000,96,FIFO,42.666667
800,0.200000,96,FIFO,41.333333
800,0.500000,96,FIFO,28.000000
800,0.800000,96,FIFO,47.000000
1600,0.200000,96,FIFO,40.000000
1600,0.500000,96,FIFO,111.666667
1600,0.800000,96,FIFO,822.666667
